_id,card1,card2,card3,card4,card5,card6,card7,card8,card9,card10,card11,card12,card13,card14,card15,card16,card17,card18,card19,card20,card21,card22,card23,card24,card25,card26,card27,card28,card29,card30,card31,card32,card33,card34,card35,card36,card37,card38,card39,card40,card41,card42,card43,card44,card45,card46,card47,card48,card49,card50,card51,card52,gameId,playerId,handNumber,strategy,bidSelfOrder,bidSelfBid,bidRightBid,bidPartnerBid,bidLeftBid,scoreSelfTeamScore,scoreSelfTeamBags,scoreOtherTeamScore,scoreOtherTeamBags,tricksTaken,scoreChange,bagsChange,finalBags,winner,finalScore,learningVersion
ObjectId(5a1211fd4c15fb000181f790),1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,UkFWuF1buX4eNzKhZPOX3OSFsoLYrI,Fb3cr6NaUn,2,nn,2,3,4,,,-19,0,-16,0,2,6,0,,,,0.3
ObjectId(5a1211fd4c15fb000181f791),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,UkFWuF1buX4eNzKhZPOX3OSFsoLYrI,mjDJZKFVrG,2,nn,3,13,3,4,,-16,0,-19,0,4,-17,0,,,,0.3
ObjectId(5a1211fd4c15fb000181f792),0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,UkFWuF1buX4eNzKhZPOX3OSFsoLYrI,nN5SB5evQQ,2,nn,4,3,13,3,4,-19,0,-16,0,4,6,0,,,,0.3
ObjectId(5a1212024c15fb000181f7c7),1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,UkFWuF1buX4eNzKhZPOX3OSFsoLYrI,Fb3cr6NaUn,3,nn,1,3,,,,-13,0,-33,0,3,4,3,,,,0.3
ObjectId(5a1212024c15fb000181f7c8),0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,UkFWuF1buX4eNzKhZPOX3OSFsoLYrI,mjDJZKFVrG,3,nn,2,0,3,,,-33,0,-13,0,3,-8,1,,,,0.3
ObjectId(5a1212024c15fb000181f7c9),0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,UkFWuF1buX4eNzKhZPOX3OSFsoLYrI,nN5SB5evQQ,3,nn,3,1,Nil,3,,-13,0,-33,0,4,4,3,,,,0.3
ObjectId(5a1212024c15fb000181f7ca),0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,UkFWuF1buX4eNzKhZPOX3OSFsoLYrI,HL1nq9P1WN,3,nn,4,2,1,Nil,3,-33,0,-13,0,3,-8,1,,,,0.3
ObjectId(5a1212064c15fb000181f7ff),1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,UkFWuF1buX4eNzKhZPOX3OSFsoLYrI,mjDJZKFVrG,4,nn,1,4,,,,-41,1,-9,3,2,7,1,,,,0.3
ObjectId(5a1212074c15fb000181f800),0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,UkFWuF1buX4eNzKhZPOX3OSFsoLYrI,nN5SB5evQQ,4,nn,2,5,4,,,-9,3,-41,1,4,-6,0,,,,0.3
ObjectId(5a1212074c15fb000181f801),0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,UkFWuF1buX4eNzKhZPOX3OSFsoLYrI,HL1nq9P1WN,4,nn,3,3,5,4,,-41,1,-9,3,6,7,1,,,,0.3
ObjectId(5a1212074c15fb000181f802),0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,UkFWuF1buX4eNzKhZPOX3OSFsoLYrI,Fb3cr6NaUn,4,nn,4,1,3,5,4,-9,3,-41,1,1,-6,0,,,,0.3
ObjectId(5a12123cf50e0c00019e6827),0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,sl4YjIgNsITSppNK61dXqFo4iJokAY,WWk6Kkk18g,1,nn,1,3,,,,0,0,0,0,2,-9,0,,,,0.3
ObjectId(5a12123cf50e0c00019e6828),1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,sl4YjIgNsITSppNK61dXqFo4iJokAY,1sMriwDuK3,1,nn,2,3,3,,,0,0,0,0,3,-10,0,,,,0.3
ObjectId(5a12123cf50e0c00019e6829),0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,sl4YjIgNsITSppNK61dXqFo4iJokAY,mrkLNECF7y,1,nn,3,6,3,3,,0,0,0,0,6,-9,0,,,,0.3
ObjectId(5a12123cf50e0c00019e682a),0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,sl4YjIgNsITSppNK61dXqFo4iJokAY,4XNGmvyK2H,1,nn,4,7,6,3,3,0,0,0,0,1,-10,0,,,,0.3
